Title,GDELT seen date,Source country,Sentiment
星核聚变融资8 . 3亿 ， 刷新核聚变最大首轮纪录,20260630T101500Z,China,"{'label': 'neutral', 'score': 0.8284847140312195}"
我国聚变加料领域首项 ISO 国际标准正式发布,20260812T013000Z,China,"{'label': 'neutral', 'score': 0.8436514139175415}"
中国聚变加料领域首项ISO国际标准正式发布,20260812T030000Z,China,"{'label': 'neutral', 'score': 0.9346816539764404}"
レポートオーシャン株式会社プレスリリース : 核融合エネルギー市場は2035年507億米ドル規模へ 、 CAGR19 . 38 ％ を支える商用化 ・ 脱炭素化 ・ エネルギー安全保障の進展,20260813T064500Z,Japan,"{'label': 'neutral', 'score': 0.7823241353034973}"
新一代  人造太阳  要来了 全面进入攻坚安装阶段 （ 附股 ） _ 东方财富网,20260814T061500Z,China,"{'label': 'positive', 'score': 0.6785788536071777}"
里程碑时刻 ！ 45亿美元资金涌入核聚变赛道 行业第一股General Fusion上市首日大涨21 % ,20260714T024500Z,China,"{'label': 'positive', 'score': 0.9246614575386047}"
头部核聚变企业完成新一轮融资 _ 东方财富网,20260810T014500Z,China,"{'label': 'neutral', 'score': 0.8316604495048523}"
  20cm  涨停 ， 万亿巨头入股 ！ 新一代  人造太阳  要来了 ， 全面进入攻坚安装阶段 （ 附股 ） ,20260814T053000Z,China,"{'label': 'positive', 'score': 0.4374742805957794}"
新一代  人造太阳  要来了 核聚变成耐心资本新赛道 _ 南方网,20260814T024500Z,China,"{'label': 'neutral', 'score': 0.9109000563621521}"
新一代  人造太阳  要来了 核聚变成耐心资本新赛道 _ 深圳新闻网,20260814T044500Z,China,"{'label': 'neutral', 'score': 0.8649504780769348}"
谋篇布局点亮  人造太阳 -- 经济 · 科技 -- 人民网,20260605T023000Z,China,"{'label': 'neutral', 'score': 0.7705681920051575}"
软银创始人孙正义 ： 核聚变能源将是AI未来发展的关键,20260714T044500Z,China,"{'label': 'neutral', 'score': 0.7309801578521729}"
 【 十五五  未来产业新图景⑥ 】 谋篇布局点亮  人造太阳  ,20260605T030000Z,China,"{'label': 'neutral', 'score': 0.7610944509506226}"
谋篇布局点亮  人造太阳  ,20260605T050000Z,China,"{'label': 'neutral', 'score': 0.7621090412139893}"
"중국  인공태양 , 핵융합 성공하나 … 청정에너지 혁명 예고 - ZDNet korea",20260610T061500Z,South Korea,"{'label': 'neutral', 'score': 0.5454395413398743}"
 【 十五五  未来产业新图景⑥ 】 谋篇布局点亮  人造太阳 - 南海网,20260605T050000Z,China,"{'label': 'neutral', 'score': 0.7828649878501892}"
 【 十五五  未来产业新图景⑥ 】 谋篇布局点亮  人造太阳 - 南海网,20260605T050000Z,China,"{'label': 'neutral', 'score': 0.7828649878501892}"
